,Title,Year,IMDB rating,IMDB link,Rating count
1,The Shawshank Redemption,1994,9.3,https://www.imdb.com/title/tt0111161/,3157619.0
2,The Godfather,,9.2,https://www.imdb.com/title/tt0068646/,2204021.0
3,The Dark Knight,2008,9.1,https://www.imdb.com/title/tt0468569/,3134296.0
4,The Godfather Part II,,9,https://www.imdb.com/title/tt0071562/,1481282.0
5,12 Angry Men,1957,9,https://www.imdb.com/title/tt0050083/,973664.0
6,The Lord of the Rings: The Return of the King,2004,9,https://www.imdb.com/title/tt0167260/,2144994.0
7,Schindler&apos;s List,1993,9,https://www.imdb.com/title/tt0108052/,1573533.0
8,The Lord of the Rings: The Fellowship of the Ring,2002,8.9,https://www.imdb.com/title/tt0120737/,2185716.0
9,Pulp Fiction,1994,8.8,https://www.imdb.com/title/tt0110912/,2413712.0
10,"Il buono, il brutto, il cattivo",1969,8.8,https://www.imdb.com/title/tt0060196/,884710.0
11,The Lord of the Rings: The Two Towers,2003,8.8,https://www.imdb.com/title/tt0167261/,1938457.0
12,Forrest Gump,2014,8.8,https://www.imdb.com/title/tt0109830/,2471986.0
13,Fight Club,1999,8.8,https://www.imdb.com/title/tt0137523/,2573711.0
14,Inception,2010,8.8,https://www.imdb.com/title/tt1375666/,2786890.0
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,https://www.imdb.com/title/tt0080684/,1492266.0
16,The Matrix,1999,8.7,https://www.imdb.com/title/tt0133093/,2227214.0
17,GoodFellas,2019,8.7,https://www.imdb.com/title/tt0099685/,1377858.0
18,Interstellar,2014,8.7,https://www.imdb.com/title/tt0816692/,2479630.0
19,One Flew Over the Cuckoo&apos;s Nest,1977,8.6,https://www.imdb.com/title/tt0073486/,1150079.0
20,Se7en,1995,8.6,https://www.imdb.com/title/tt0114369/,1997686.0
21,It&apos;s a Wonderful Life,1947,8.6,https://www.imdb.com/title/tt0038650/,551423.0
22,The Silence of the Lambs,1991,8.6,https://www.imdb.com/title/tt0102926/,1704271.0
23,Shichinin no samurai,1954,8.6,https://www.imdb.com/title/tt0047478/,399285.0
24,Saving Private Ryan,1999,8.6,https://www.imdb.com/title/tt0120815/,1623743.0
25,The Green Mile,2000,8.6,https://www.imdb.com/title/tt0120689/,1546118.0
