,Title,Year,IMDB rating,IMDB link,Rating count
1,Breaking Bad,2016,9.5,https://www.imdb.com/title/tt0903747/,2482901.0
2,Planet Earth II,2021,9.4,https://www.imdb.com/title/tt5491994/,173478.0
3,Planet Earth,2017,9.4,https://www.imdb.com/title/tt0795176/,233914.0
4,Band of Brothers,2015,9.4,https://www.imdb.com/title/tt0185906/,586985.0
5,Chernobyl,2019,9.3,https://www.imdb.com/title/tt7366338/,1013960.0
6,The Wire,2002,9.3,https://www.imdb.com/title/tt0306414/,425571.0
7,Avatar: The Last Airbender,2005,9.3,https://www.imdb.com/title/tt0417299/,432358.0
8,The Sopranos,2019,9.2,https://www.imdb.com/title/tt0141842/,566515.0
9,Blue Planet II,2017,9.3,https://www.imdb.com/title/tt6769208/,56983.0
10,Cosmos: A Spacetime Odyssey,2014,9.2,https://www.imdb.com/title/tt2395695/,139380.0
11,Cosmos,1980,9.3,https://www.imdb.com/title/tt0081846/,52722.0
12,Our Planet,2019,9.2,https://www.imdb.com/title/tt9253866/,62106.0
13,Game of Thrones,2011,9.2,https://www.imdb.com/title/tt0944947/,2541814.0
14,Bluey,2018,9.3,https://www.imdb.com/title/tt7678620/,46075.0
15,The World at War,1973,9.2,https://www.imdb.com/title/tt0071075/,37468.0
16,Hagane no renkinjutsushi,2017,9.1,https://www.imdb.com/title/tt1355642/,242491.0
17,Shingeki no kyojin,2013,9.1,https://www.imdb.com/title/tt2560140/,687753.0
18,Life,2009,9.1,https://www.imdb.com/title/tt1533395/,50032.0
19,The Last Dance,2020,9,https://www.imdb.com/title/tt8420184/,178160.0
20,The Twilight Zone,1959,9,https://www.imdb.com/title/tt0052520/,107575.0
21,The Vietnam War,2017,9.1,https://www.imdb.com/title/tt1877514/,36313.0
22,Rick and Morty,2017,9,https://www.imdb.com/title/tt2861424/,686101.0
23,Sherlock,2017,9,https://www.imdb.com/title/tt1475582/,1079835.0
24,Batman: The Animated Series,1992,9,https://www.imdb.com/title/tt0103359/,135662.0
25,Better Call Saul,2017,9,https://www.imdb.com/title/tt3032476/,805659.0
