,Title,Year,IMDB rating,IMDB link,Rating count
3,Marty Supreme,2026,8.0,https://www.imdb.com/title/tt32916440/,86318.0
4,Crime 101,2026,7.2,https://www.imdb.com/title/tt32430579/,5771.0
5,Predator: Badlands,2025,7.3,https://www.imdb.com/title/tt31227572/,108174.0
6,Send Help,2026,7.2,https://www.imdb.com/title/tt8036976/,26479.0
7,Hamnet,2026,7.9,https://www.imdb.com/title/tt14905854/,54810.0
11,"Good Luck, Have Fun, Don&apos;t Die",2026,7.6,https://www.imdb.com/title/tt1341338/,2995.0
13,One Battle After Another,2025,7.7,https://www.imdb.com/title/tt30144839/,324307.0
17,Sinners,2025,7.5,https://www.imdb.com/title/tt31193180/,401305.0
18,Bugonia,2025,7.4,https://www.imdb.com/title/tt12300742/,139727.0
21,Solo Mio,2026,7.6,https://www.imdb.com/title/tt32306991/,3046.0
23,Frankenstein,2025,7.4,https://www.imdb.com/title/tt1312221/,268457.0
25,Song Sung Blue,2026,7.3,https://www.imdb.com/title/tt30343021/,14781.0
26,Zootopia 2,2025,7.4,https://www.imdb.com/title/tt26443597/,82311.0
28,How to Train Your Dragon,2025,7.7,https://www.imdb.com/title/tt26743210/,124039.0
30,Train Dreams,2025,7.5,https://www.imdb.com/title/tt29768334/,75827.0
32,O Agente Secreto,2026,7.4,https://www.imdb.com/title/tt27847051/,27298.0
33,Affeksjonsverdi,2025,7.8,https://www.imdb.com/title/tt27714581/,47816.0
34,Wake Up Dead Man,2025,7.3,https://www.imdb.com/title/tt14364480/,207833.0
35,Nuremberg,2025,7.4,https://www.imdb.com/title/tt29567915/,60430.0
36,Dhurandhar,2025,8.3,https://www.imdb.com/title/tt33014583/,114423.0
43,28 Years Later: The Bone Temple,2026,7.7,https://www.imdb.com/title/tt32141377/,39085.0
44,Avatar: Fire and Ash,2025,7.4,https://www.imdb.com/title/tt1757678/,130013.0
46,Weapons,2025,7.4,https://www.imdb.com/title/tt26581740/,310132.0
47,F1,2025,7.6,https://www.imdb.com/title/tt16311594/,315103.0
48,Eojjeolsuga eobsda,2025,7.6,https://www.imdb.com/title/tt1527793/,42426.0
57,"Crazy, Stupid, Love.",2011,7.4,https://www.imdb.com/title/tt1570728/,610271.0
62,The Singers,2026,7.4,https://www.imdb.com/title/tt33508491/,1675.0
63,Eyes Wide Shut,2020,7.5,https://www.imdb.com/title/tt0120663/,421973.0
67,The Notebook,2017,7.8,https://www.imdb.com/title/tt0332280/,680385.0
70,Rental Family,2026,7.6,https://www.imdb.com/title/tt14142060/,29907.0
78,I Swear,2025,8.4,https://www.imdb.com/title/tt31514146/,12961.0
79,Bullet Train,2022,7.3,https://www.imdb.com/title/tt12593682/,525371.0
80,The Substance,2024,7.2,https://www.imdb.com/title/tt17526714/,403938.0
87,The Life of Chuck,2025,7.3,https://www.imdb.com/title/tt12908150/,59563.0
93,The Darjeeling Limited,2014,7.2,https://www.imdb.com/title/tt0838221/,230798.0
